Category Code,Category Description,Status
KDN,KIDNEY,INACTIVE
KEQ,KITCHEN EQUIPMENT,ACTIVE
KIS,KITCHEN SUPPLIES,ACTIVE
KNF,KNIFE,INACTIVE
LDL,LADLE,INACTIVE
LMB,LAMB,ACTIVE
LRD,LARD,INACTIVE
LEG,LEG,INACTIVE
LGB,LEGBONE,INACTIVE
LGS,LEGS,INACTIVE
LID,LID,INACTIVE
LIG,LIGHT,INACTIVE
LGT,LIGHTING,ACTIVE
LHT,LIGHTS,INACTIVE
LQU,LIQUER,INACTIVE
LIQ,LIQUOR,INACTIVE
LVR,LIVER,INACTIVE
LOI,LOIN,INACTIVE
LUN,LUNGS,INACTIVE
MKI,MAKI,INACTIVE
MSK,MASK,INACTIVE
MAT,MAT,INACTIVE
MEA,MEAT,INACTIVE
MTB,MEATBALLS,INACTIVE
MDS,MEDICAL SUPPLIES,ACTIVE
MNU,MENU,INACTIVE
MLK,MILK,INACTIVE
MNT,MONITOR,INACTIVE
MSH,MUSHROOMS,ACTIVE
N/A,N/A,INACTIVE
NPK,NAPKIN,INACTIVE
NCK,NECK,INACTIVE
NAD,NON ALCOHOLIC DRINKS,ACTIVE
NLQ,NON-LIQUOR,INACTIVE
NOL,NON-LIQUOR (CARBONATED),INACTIVE
NDL,NOODLES,ACTIVE
NUG,NUGGETS,INACTIVE
NUT,NUTS,ACTIVE
OCT,OCTOPUS,INACTIVE
OEQ,OFFICE EQUIPMENT,ACTIVE
OFS,OFFICE SUPPLIES,ACTIVE
OIL,OIL,ACTIVE
OPR,OPENER,INACTIVE
OTF,OTHER FEES,ACTIVE
OVN,OVEN,INACTIVE
OX0,OX,ACTIVE
OYB,OYSTER BLADE,INACTIVE
PKG,PACKAGING,INACTIVE
PGR,PAGER,INACTIVE
PAN,PAN,INACTIVE
PNC,PANCETTA,INACTIVE
PPR,PAPER,INACTIVE
PST,PASTA,ACTIVE
PSR,PASTRAMI,INACTIVE
PTY,PATTY,INACTIVE
PER,PEPPER,INACTIVE
PPM,PEPPER MILL,INACTIVE
PEP,PEPPERONI,INACTIVE
PCH,PITCHER,INACTIVE
PLN,PLANT,ACTIVE
PLT,PLATE,INACTIVE
POC,POPCORN MACHINE,INACTIVE
PRK,PORK,ACTIVE
PKC,PORKCHOP,INACTIVE
PRL,PORKLOIN,INACTIVE
PRH,PORTERHOUSE,INACTIVE
POT,POT,INACTIVE
PTR,PRINTER,INACTIVE
PCR,PROCESSOR,INACTIVE
QUA,QUAIL,ACTIVE
RCK,RACK,INACTIVE
RAL,RAIL,INACTIVE
RMK,RAMEKIN,INACTIVE
RFG,REFRIGERATION,INACTIVE
RPC,REPACK,INACTIVE
RER,RIB EYE ROLL,INACTIVE
RBL,RIBLETS,INACTIVE
RIB,RIBS,INACTIVE
SLM,SALAMI,INACTIVE
SMP,SAMPLE,ACTIVE
STZ,SANITIZER,INACTIVE
SCE,SAUCE,ACTIVE
SEP,SAUCE PAN,INACTIVE
SSG,SAUSAGE,INACTIVE
SCL,SCALE,INACTIVE
SPS,SCALLOPS,INACTIVE
SCP,SCOOPER,INACTIVE
SCA,SCRAP,INACTIVE
SCR,SCRAPER,INACTIVE
SEU,SEA URCHIN,INACTIVE
SFD,SEAFOOD,ACTIVE
SES,SEASHELL,INACTIVE
SEA,SEASONING,ACTIVE
SED,SEED/BEANS,INACTIVE
SHK,SHANK,INACTIVE
SHF,SHELLFISH,INACTIVE
SHV,SHELVES,INACTIVE
SHN,SHIN,INACTIVE
SHP,SHORT PLATE,INACTIVE
SHR,SHORT RIBS,INACTIVE
SHL,SHOULDER,INACTIVE
SNK,SINK,INACTIVE
SRL,SIRLOIN,INACTIVE
SKN,SKIN,INACTIVE
SFB,SOFTBONE,INACTIVE
SST,SOUP STOCK,INACTIVE
SPM,SPAM,INACTIVE
SPT,SPATULA,INACTIVE
SPC,SPICES,ACTIVE
SPR,SPINNER,INACTIVE
SPN,SPOON,INACTIVE
SQD,SQUID,INACTIVE
STR,STARCH,ACTIVE
STM,STEAMER,INACTIVE
STK,STICK,INACTIVE
STC,STICKERS,INACTIVE
STO,STOCK,ACTIVE
STN,STRAINER,INACTIVE
STW,STRAWS,INACTIVE
SPL,STRIPLOIN,INACTIVE
SGR,SUGAR,INACTIVE
SWB,SWEETBREADS,INACTIVE
SWT,SWEETS,INACTIVE
TBN,T-BONE,INACTIVE
TBL,TABLE,INACTIVE
TAI,TAIL,INACTIVE
TND,TENDON,INACTIVE
THM,THERMOMETER,INACTIVE
THI,THIGH,INACTIVE
TIS,TISSUE,INACTIVE
TST,TOASTER,INACTIVE
TFU,TOFU,INACTIVE
TLF,TOILET FIXTURES,ACTIVE
TNG,TONG,INACTIVE
TRB,TOP ROUND BEEF,INACTIVE
TFR,TRANSFORMER,INACTIVE
TRN,TRANSMITTER,INACTIVE
TRY,TRAY,INACTIVE
TRL,TROLLEY,INACTIVE
TRT,TROTTER,INACTIVE
UNI,UNIFORMS,ACTIVE
UPS,UPS,INACTIVE
VGT,VEGETABLE,ACTIVE
WFM,WAFFLE MAKER,INACTIVE
WRM,WARMER,INACTIVE
WTR,WATER,INACTIVE
WHS,WHISK,INACTIVE
WHL,WHOLE,INACTIVE
WNG,WINGS,INACTIVE
WRP,WRAPPER,ACTIVE
