Brand Code,Brand Description,Status
ASS,ASUS,ACTIVE
ATC,ATECO,ACTIVE
ATH,ATHENA,ACTIVE
ATL,ATLAS,ACTIVE
ATO,ATOSA,ACTIVE
AUD,AUDIO PRO,ACTIVE
AUR,AURO,ACTIVE
AUM,AUSBEIN MESSER,ACTIVE
AUS,AUSTRALIAN HARVEST,ACTIVE
AVK,AVIKO,ACTIVE
AVT,AVTECH,ACTIVE
AWC,AWARD CUISINE,ACTIVE
AYM,AYAM,ACTIVE
BCR,BACARDI,ACTIVE
BDC,BADACO,ACTIVE
BAG,BAGUIO,ACTIVE
BKL,BAKELS PETTINICE,ACTIVE
BKB,BAKER BROTHER'S,ACTIVE
BAB,BAKER'S BEST,ACTIVE
BAS,BAKER'S SECRET,ACTIVE
BKF,BAKERSFIELD,ACTIVE
BKP,BAKERSPRIDE,ACTIVE
BAK,BAKEWELL,ACTIVE
BAD,BAKING DIVA,ACTIVE
BKT,BAKTAT,ACTIVE
BLW,BALIWAG,ACTIVE
BAL,BALL,ACTIVE
BMB,BAMBI,ACTIVE
BAN,BANGO,ACTIVE
BTZ,BARATZA,ACTIVE
BRL,BARILLA,ACTIVE
BSW,BARN SWALLOW,ACTIVE
BAO,BARON,ACTIVE
BAR,BARONIA,ACTIVE
BAF,BARRIO FIESTA,ACTIVE
BCB,BARRY CALLEBAUT,ACTIVE
BSC,BARTSCHER,ACTIVE
BAT,BATASIOLO,ACTIVE
BYB,BAYANI BREW,ACTIVE
BAY,BAYGON,ACTIVE
BGA,BEGA,ACTIVE
BEK,BEKSUL,ACTIVE
BLC,BELACHAN,ACTIVE
BEA,BELLA STAR,ACTIVE
BEL,BELLAS,ACTIVE
BEN,BENRINER,ACTIVE
BTA,BERETTA,ACTIVE
BJY,BERJAYA,ACTIVE
BER,BERRI,ACTIVE
BRY,BERYL'S,ACTIVE
BSB,BEST BUY,ACTIVE
BSF,BEST FOOD,ACTIVE
BSV,BEST VALUE,ACTIVE
BST,BESUTO,ACTIVE
BTD,BETADINE,ACTIVE
BIA,BIANCA,ACTIVE
BID,BIDAN,ACTIVE
BSP,BIG SCOOP,ACTIVE
BIM,BILLIE'S MARKETING,ACTIVE
BMX,BINDERMAX,ACTIVE
BPK,BIO PORT KOREA,ACTIVE
BFL,BIOFLU,ACTIVE
BGS,BIOGESIC,ACTIVE
BIK,BIOKIPS,ACTIVE
BIP,BIOPACK,ACTIVE
BHT,BIRCH TREE,ACTIVE
BTT,BITTER TRUTH,ACTIVE
BLG,BLACK GOLD,ACTIVE
B&D,BLACK&DECKER,ACTIVE
BLZ,BLIZZARD,ACTIVE
BLU,BLUE DIAMOND,ACTIVE
BOB,BOB'S RED MILL,ACTIVE
BOD,BODE,ACTIVE
BIH,BOEHRINGER INGELHEIM,ACTIVE
BOI,BOIDO,ACTIVE
BSH,BOMBAY SAPPHIRE,ACTIVE
BNV,BONAVITA,ACTIVE
BON,BONNE MAMAN,ACTIVE
BNM,BONOMI,ACTIVE
BBC,BOONDOCKS BREWERING CO.,ACTIVE
BGV,BORGONOVO,ACTIVE
BOR,BORMIOLI ROCCO,ACTIVE
BOS,BOSCO,ACTIVE
BSE,BOSE,ACTIVE
BNC,BOUNCE,ACTIVE
BFI,BOUNTY FARMS,ACTIVE
BOF,BOUNTY FRESH,ACTIVE
BGT,BOURGEAT,ACTIVE
BOY,BOY BAWANG,ACTIVE
BRB,BRABANTIA,ACTIVE
BBT,BRANBANTIA,ACTIVE
BRN,BRAUN,ACTIVE
BRM,BREMEN,ACTIVE
BRR,BRER,ACTIVE
BRE,BREVILLE,ACTIVE
BWK,BREW KETTLE,ACTIVE
BTM,BREWTIME,ACTIVE
BRI,BRIDOR,ACTIVE
BRG,BRIGGS,ACTIVE
BRA,BRITA,ACTIVE
BTN,BRITANNIA,ACTIVE
BRT,BRITE,ACTIVE
BRO,BROTHER,ACTIVE
BLA,BULLA,ACTIVE
BLD,BULLDOG,ACTIVE
BUL,BULLHEAD,ACTIVE
BNG,BUNGE,ACTIVE
CAC,CACAO IVORY,ACTIVE
CCH,CACHACA,ACTIVE
CBR,CADBURY,ACTIVE
CDA,CADIA,ACTIVE
CAE,CAE,ACTIVE
CAG,CAELI GOURMET,ACTIVE
CTO,CAFETTO,ACTIVE
CAB,CALABOO,ACTIVE
CFN,CALIFORNIA,ACTIVE
CLF,CALIFORNIA SUNSHINE,ACTIVE
CAL,CALLEBAUT,ACTIVE
CLP,CALPHALON,ACTIVE
CLM,CALUMET,ACTIVE
CLY,CALYPSO PP,ACTIVE
CAM,CAMANCHACA,ACTIVE
CMB,CAMBRO,ACTIVE
CML,CAMEL,ACTIVE
CAT,CAMELOT,ACTIVE
CMP,CAMPARI,ACTIVE
CMR,CAMRY,ACTIVE
CAD,CANADA DRY,ACTIVE
CND,CANDY,ACTIVE
CNT,CANTERBURY,ACTIVE
CAF,CAPFRUIT,ACTIVE
CPR,CAPRI,ACTIVE
CAR,CARAMBA,ACTIVE
CGL,CARGILL,ACTIVE
CRL,CARLISLE,ACTIVE
CMC,CARMENCITA,ACTIVE
CRN,CARNATION,ACTIVE
CRB,CARRIBEAN,ACTIVE
CRR,CARRIER,ACTIVE
CCD,CASCADE,ACTIVE
CNO,CASINO,ACTIVE
CSN,CASINO NOIR,ACTIVE
CSO,CASIO,ACTIVE
CAS,CASTELLO,ACTIVE
CSL,CASTLE,ACTIVE
CDO,CDO,ACTIVE
CEB,CEBU,ACTIVE
CWR,CECILWARE,ACTIVE
CEM,CEMS,ACTIVE
CEN,CENTENNIAL ROSLE,ACTIVE
CRS,CERES,ACTIVE
CER,CERTIFIED ANGUS BEEF,ACTIVE
CHM,CHAMPION,ACTIVE
CHT,CHATRAMUE,ACTIVE
CHV,CHE VITAL,ACTIVE
CHP,CHEE PUCK,ACTIVE
CKY,CHEF KIMBY,ACTIVE
CHN,CHEF NOOK'S,ACTIVE
CHE,CHEF TONY'S,ACTIVE
CHC,CHEF'S CLASSIC,ACTIVE
CHG,CHEF'S GALLERY,ACTIVE
CFP,CHEF'S PRIDE,ACTIVE
CDL,CHEFDELITE,ACTIVE
CHF,CHEFLINE,ACTIVE
CMI,CHICAGO METALLIC,ACTIVE
CHI,CHIL KAB,ACTIVE
CVR,CHIVAS REGAL,ACTIVE
CHL,CHOCOLATE LOVERS,ACTIVE
CWB,CHOCOLATE WORLD BELGIUM,ACTIVE
CHO,CHONGAJIP,ACTIVE
CGA,CHONGGA,ACTIVE
CHS,CHUA HAN SENG,ACTIVE
CHY,CHUANYOU,ACTIVE
CHU,CHUNGEUN,ACTIVE
CHR,CHURCHILL,ACTIVE
CNS,CIGNUS,ACTIVE
CLI,CIRIMAR LABORATORIES INC.,ACTIVE
CIR,CIRIO,ACTIVE
CTN,CITINOVA,ACTIVE
CIT,CITRUS FARMS,ACTIVE
CJF,CJ,ACTIVE
CLA,CLAMSHELL,ACTIVE
CLO,CLARA OLE,ACTIVE
CSW,CLEAN SWEEP,ACTIVE
CLW,CLEAN WARE,ACTIVE
CLU,CLEANS-UP,ACTIVE
CRF,CLEAR RIVER FARM,ACTIVE
CLE,CLEENE,ACTIVE
CLK,CLKT,ACTIVE
CLB,CLUB MANGROVE,ACTIVE
COC,COCA-COLA,ACTIVE
CCI,COCIO,ACTIVE
CCO,COCO NATURA,ACTIVE
CQB,COFFEE QUEEN BREWERS,ACTIVE
COF,COFTA,ACTIVE
COI,COINTREAU,ACTIVE
COS,COLD STORAGE,ACTIVE
COE,COLEMAN,ACTIVE
CLS,COLES,ACTIVE
CLN,COLONNA,ACTIVE
COP,COLOP,ACTIVE
COL,COLUMBIAS,ACTIVE
CFT,COMFORT,ACTIVE
CO+,COMMIPLUS,ACTIVE
COM,COMMISSARY,ACTIVE
CPK,COMPAK,ACTIVE
CPE,COOPER,ACTIVE
COO,COOPER ATKINS,ACTIVE
COR,CORONA,ACTIVE
CEX,CORONA EXTRA,ACTIVE
CRU,CORRUPAC,ACTIVE
CVL,CORTE VIOLA,ACTIVE
CLV,COSMO LIVING,ACTIVE
CTM,COUNTRY TIME,ACTIVE
COZ,COZY,ACTIVE
CRP,CRAFTPOINT,ACTIVE
C&B,CRATE & BARREL,ACTIVE
CRT,CRATHCO,ACTIVE
CRM,CREAM,ACTIVE
CBK,CREATIVE BAKERS,ACTIVE
CVC,CREATIVE CHEF,ACTIVE
CRG,CREATIVE GOURMET,ACTIVE
CRK,CREEKSTONE,ACTIVE
CRE,CRESTON,ACTIVE
CRO,CROCODILE,ACTIVE
CRW,CROWN,ACTIVE
CCB,CROWS CRAFTING BREWERING,ACTIVE
CRC,CRYSTAL CLEAR,ACTIVE
CTC,CT CONCEPTS,ACTIVE
CTF,CTF,ACTIVE
CKO,CUCKOO,ACTIVE
CUI,CUISINART,ACTIVE
CYP,CYBER POWER,ACTIVE
CYC,CYCLONE,ACTIVE
DNK,D-LINK,ACTIVE
DCH,D'CHEF,ACTIVE
D&K,D&K,ACTIVE
DVG,DA VINCI GOURMET,ACTIVE
DAC,DACHEF,ACTIVE
DJG,DAE JANG GUM,ACTIVE
DAE,DAE JOO,ACTIVE
DRM,DAERIM,ACTIVE
DSN,DAESANG,ACTIVE
DHA,DAHUA,ACTIVE
DKN,DAIKIN,ACTIVE
DSO,DAISO,ACTIVE
DAD,DAN DAN,ACTIVE
DNE,DANE,ACTIVE
DAN,DANES,ACTIVE
DAR,DARUMA,ACTIVE
DPT,DATU PUTI,ACTIVE
DWN,DAWNPAC,ACTIVE
DDY,DAYDAYS,ACTIVE
DDI,DDI,ACTIVE
DEB,DE BUYER,ACTIVE
DCO,DECO,ACTIVE
DTH,DEE THAI,ACTIVE
DEG,DEGA,ACTIVE
DLM,DEL MONTE,ACTIVE
DLI,DELI,ACTIVE
DMN,DELIMONDO,ACTIVE
DLK,DELKI,ACTIVE
DEL,DELL,ACTIVE
DLT,DELTA,ACTIVE
DMR,DEMARLE,ACTIVE
DNB,DENBU,ACTIVE
DES,DESTILERIA LIMTUACO & CO. INC.,ACTIVE
DTP,DETPAK,ACTIVE
DEZ,DEZAAN,ACTIVE
DFC,DFC,ACTIVE
DGF,DGF,ACTIVE
DIL,DILMAH,ACTIVE
DME,DIMES,ACTIVE
DIS,DISARONNO,ACTIVE
DVL,DIVELLA,ACTIVE
DZN,DIZON,ACTIVE
DLA,DLA NATURAL,ACTIVE
DOT,DO IT,ACTIVE
DLE,DOLE,ACTIVE
DOG,DON GARCIA,ACTIVE
DON,DON LUCIANO,ACTIVE
DNP,DON PAPA,ACTIVE
DLN,DONA ELENA,ACTIVE
DNM,DONA MARIA,ACTIVE
DWL,DONEWELL,ACTIVE
DNT,DONGTAI,ACTIVE
DRS,DOROSIN,ACTIVE
DOW,DOWELL,ACTIVE
DRE,DREIDOPPEL,ACTIVE
DKM,DRINK MACHINE,ACTIVE
DUH,DUNCAN HINES,ACTIVE
DLX,DURALEX,ACTIVE
DUR,DURU,ACTIVE
DYX,DYNAMEX,ACTIVE
DYC,DYNAMIC,ACTIVE
DYN,DYNASTY,ACTIVE
E&W,E&W,ACTIVE
EAG,EAGLE,ACTIVE
EGW,EAGLEWARE,ACTIVE
ELD,EARLE'S DELICATESSEN,ACTIVE
EAS,EAST,ACTIVE
ELN,EASYLINER,ACTIVE
ECL,ECOLAB,ACTIVE
ECM,ECOLUM,ACTIVE
EMS,ECOMIST,ACTIVE
ECO,ECOTEMP,ACTIVE
EDI,EDISON,ACTIVE
EDL,EDLUND,ACTIVE
BDG,EDSA BDG,ACTIVE
EDW,EDWARDS,ACTIVE
EIO,EIGHT O'CLOCK,ACTIVE
EKO,EKO,ACTIVE
EME,EL MEXICANO,ACTIVE
ELX,ELECTROLUX,ACTIVE
E&V,ELLE & VIRE,ACTIVE
ELS,ELSIE'S,ACTIVE
ELY,ELY,ACTIVE
EMB,EMBORG,ACTIVE
EMM,EMMI,ACTIVE
EMP,EMPEROR,ACTIVE
ENE,ENERGIZER,ACTIVE
ENG,ENGKANTO,ACTIVE
ENO,ENOFRIGO,ACTIVE
EPN,EPINOX,ACTIVE
EPS,EPSON,ACTIVE
EQU,EQUAL,ACTIVE
ERG,ERGO,ACTIVE
ERS,ERNEST SOULARD,ACTIVE
ESE,ESSENTIAL EVERYDAY,ACTIVE
ESN,ESSENTIALS,ACTIVE
ETS,ETSUMI,ACTIVE
ERI,EURIAL,ACTIVE
EUP,EURO POMELLA,ACTIVE
ESW,EURO-SWISS,ACTIVE
EUR,EUROCHEF,ACTIVE
ESM,EUROSTREAM,ACTIVE
EVR,EVEREADY,ACTIVE
EVE,EVERPURE,ACTIVE
EVW,EVERWING,ACTIVE
EVO,EVO,ACTIVE
EXL,EXCEL,ACTIVE
EXC,EXCEL COOKER,ACTIVE
ECP,EXCELLENT COPY,ACTIVE
ECK,EXPERT COOK,ACTIVE
EZD,EZDO,ACTIVE
FAB,FABER CASTELL,ACTIVE
FAE,FAEMA,ACTIVE
FLB,FALSE BAY,ACTIVE
FBW,FARBERWARE,ACTIVE
FRM,FARMBOY,ACTIVE
FAT,FAT & THIN,ACTIVE
FLE,FEILITE,ACTIVE
FNB,FEINY BISCUITS,ACTIVE
FRN,FERNA,ACTIVE
FIB,FIBISCO,ACTIVE
FDC,FINE DE CLAIRE,ACTIVE
FNT,FINETI,ACTIVE
FIN,FINGANAE,ACTIVE
FLR,FLORENCE,ACTIVE
FLT,FLYTECH,ACTIVE
FOO,FOODEX,ACTIVE
FYL,FOYLE,ACTIVE
FRB,FRABELLE,ACTIVE
FRA,FRANK'S,ACTIVE
FRK,FRANKE,ACTIVE
FBK,FRANKLIN BAKER,ACTIVE
FRT,FRATELLI BERETTA,ACTIVE
FZB,FREEZER BURN,ACTIVE
FRC,FRENCH'S CLASSIC,ACTIVE
FBO,FRIBOI,ACTIVE
FRI,FRIGOR,ACTIVE
FMC,FRIMEC,ACTIVE
FIC,FRUITS IN CREAM,ACTIVE
FRU,FRUTOS,ACTIVE
FNP,FRY N POP,ACTIVE
FMX,FRYMAX,ACTIVE
FSL,FSL,ACTIVE
FDG,FUDONG,ACTIVE
FJI,FUJI,ACTIVE
FUJ,FUJIDENZO,ACTIVE
FUK,FUKUSHIMA,ACTIVE
FUS,FUSUN,ACTIVE
FTB,FUTABA,ACTIVE
GAB,GABAN,ACTIVE
GBN,GALBANI,ACTIVE
GAL,GALINCO,ACTIVE
GJM,GAO JI MODAOSHI,ACTIVE
GRD,GARDENIA,ACTIVE
GCK,GCOOKS,ACTIVE
GBW,GEBWARE,ACTIVE
GEL,GELITA,ACTIVE
GEM,GEM,ACTIVE
GEN,GENERAL ELECTRONIC,ACTIVE
GNM,GENERAL MASTER,ACTIVE
GNR,GENERIC,ACTIVE
GEW,GENICWARE,ACTIVE
GEO,GEOS,ACTIVE
GGO,GGOMI,ACTIVE
GHM,GHOME,ACTIVE
GBF,GIABELLA FOODS,ACTIVE
GIA,GIANNI NEGRINI,ACTIVE
GIE,GIESSER,ACTIVE
GIF,GIFFARD,ACTIVE
GNA,GINA,ACTIVE
GSM,GINEBRA SAN MIGUEL,ACTIVE
GIN,GINESTET,ACTIVE
GLK,GLASSLOCK,ACTIVE
GLN,GLENLIVET,ACTIVE
GLT,GLOBAL TEK,ACTIVE
GLB,GLOBE,ACTIVE
GGI,GOGI,ACTIVE
GML,GOLD MEDAL,ACTIVE
GCR,GOLDCREST,ACTIVE
GOB,GOLDEN BOAT,ACTIVE
GDC,GOLDEN CHAMP,ACTIVE
GLC,GOLDEN CROWN,ACTIVE
GOF,GOLDEN FARM,ACTIVE
GDH,GOLDEN HARVEST,ACTIVE
GDM,GOLDEN MANGOES,ACTIVE
GLV,GOLDEN VALLEY,ACTIVE
GDF,GOLDFISH,ACTIVE
GDL,GOOD LIFE,ACTIVE
GDS,GOOD SHEPERD,ACTIVE
G&G,GOOD&GOOD,ACTIVE
GOR,GORDON'S,ACTIVE
GRJ,GORENJE,ACTIVE
GOU,GOURDO'S,ACTIVE
GTS,GOURMET STEEL,ACTIVE
GYA,GOYA,ACTIVE
GRN,GRAND'OR,ACTIVE
GRA,GRANDE,ACTIVE
GRG,GREAT GLOVE,ACTIVE
GRT,GREAT TASTE,ACTIVE
GRE,GRECI,ACTIVE
GRC,GREEN CROSS,ACTIVE
GRM,GREENMAX,ACTIVE
GRY,GREY GOOSE,ACTIVE
GRP,GREY POUPON,ACTIVE
GVL,GROVIL,ACTIVE
GRO,GROWERS,ACTIVE
GDI,GRUPPO DOLCI,ACTIVE
GUL,GULDEN'S,ACTIVE
GLF,GULF TRADING,ACTIVE
GUD,GUY DEGRENNE,ACTIVE
GCH,GWANG CHEON HAEJEO,ACTIVE
GZH,GYOZA HOUSE,ACTIVE
GYU,GYUKUTOEN,ACTIVE
H&M,H&M,ACTIVE
HBT,HABITAT,ACTIVE
HAE,HAECHANDLE,ACTIVE
HPY,HAEPYO,ACTIVE
HGR,HAGOROMO,ACTIVE
HAI,HAI TAI,ACTIVE
HAK,HAKUBAKU,ACTIVE
HAL,HALLDE,ACTIVE
HAM,HAMASAEN,ACTIVE
HRB,HAN RIVER BRIDGE,ACTIVE
HBS,HANABISHI,ACTIVE
HNM,HANAMARUKEN,ACTIVE
HFS,HANAPOTAMUS FOOD SERVICES,ACTIVE
HNT,HANNITA,ACTIVE
HAN,HANVIT,ACTIVE
HAP,HAPPY,ACTIVE
HPD,HAPPY DAY,ACTIVE
HPV,HAPPY VALLEY,ACTIVE
HRO,HARIO,ACTIVE
H&S,HARNEY & SONS,ACTIVE
HRT,HARVEST,ACTIVE
HAC,HARVEST CIRCLE,ACTIVE
HAR,HARVESTER'S,ACTIVE
HRV,HARVESTIME,ACTIVE
HVY,HARVEY FRESH,ACTIVE
HTC,HATCO,ACTIVE
HTF,HATFIELD,ACTIVE
HAV,HAVAASIA,ACTIVE
HAW,HAW HAW,ACTIVE
HBW,HBW,ACTIVE
HCG,HCG,ACTIVE
HEA,HEALTHY CHEF,ACTIVE
HTY,HEARTY,ACTIVE
HKN,HEINEKEN,ACTIVE
HEI,HEINRICH,ACTIVE
HNZ,HEINZ,ACTIVE
HBG,HENG BING,ACTIVE
HNS,HENG SHUN,ACTIVE
HEP,HEPP,ACTIVE
HER,HERSHEY'S,ACTIVE
HMS,HIGASHIMARU SHOYU,ACTIVE
HIK,HIKVISION,ACTIVE
HIT,HILL TOP,ACTIVE
HIF,HILLFARM,ACTIVE
HLS,HILLS,ACTIVE
HIL,HILMAN,ACTIVE
HSM,HISAMITSU,ACTIVE
HSN,HISENSE,ACTIVE
HCH,HITACHI,ACTIVE
HNB,HITACHINO NEST BEER,ACTIVE
HLT,HLT,ACTIVE
HOB,HOBART,ACTIVE
HBL,HOBBY LIFE,ACTIVE
HOC,HOC GUAN,ACTIVE
HGN,HOEGAARDEN,ACTIVE
HDL,HOLD LOCK,ACTIVE
HMB,HOME BRAND,ACTIVE
HOM,HOME CHEF,ACTIVE
HOG,HOME GALLERY,ACTIVE
HME,HOME@HOME,ACTIVE
HNI,HONAI,ACTIVE
HON,HONEYWELL,ACTIVE
HOL,HONG LI,ACTIVE
HPE,HOPE,ACTIVE
HPL,HOPLA,ACTIVE
HRL,HORLICKS,ACTIVE
HSZ,HOSHIZAKI,ACTIVE
HOS,HOSONNI,ACTIVE
HOU,HOUSE BRAND,ACTIVE
HP0,HP,ACTIVE
HNY,HUAN YI,ACTIVE
HUA,HUAWEI,ACTIVE
HXN,HUAXUAN,ACTIVE
HUI,HUILE & AROME,ACTIVE
HUY,HUY FONG,ACTIVE
HWT,HW TAYLOR,ACTIVE
HDC,HYDRON CHEMICALS,ACTIVE
IBP,IBP,ACTIVE
ICL,ICEL,ACTIVE
ICT,ICETRO,ACTIVE
IDG,IDEAL GOURMET,ACTIVE
IGL,IGLOO,ACTIVE
ICK,IICHIKO,ACTIVE
IKE,IKEA,ACTIVE
IPG,IL POGGIO,ACTIVE
ILP,IL POGGIO DI VIGNETI,ACTIVE
ILR,IL ROCCOLO,ACTIVE
ILB,ILOILO BAY,ACTIVE
IMF,IMARFLEX,ACTIVE
IMY,IMC YEMAN,ACTIVE
IMG,IMG,ACTIVE
IGN,IMGANE,ACTIVE
IMP,IMPERIAL,ACTIVE
IND,INDCRESA,ACTIVE
IDF,INDOFINE,ACTIVE
ING,INGREDION,ACTIVE
INJ,INJOY,ACTIVE
IMD,INMED,ACTIVE
INV,INOVA,ACTIVE
INO,INOX,ACTIVE
INM,INPLUS MODERN,ACTIVE
INS,INSINKERATOR,ACTIVE
IOW,IOWA,ACTIVE
ISE,ISECURE,ACTIVE
ITC,ITC,ACTIVE
IVO,IVO,ACTIVE
IWT,IWATA,ACTIVE
IWA,IWATANI,ACTIVE
IZU,IZUMI,ACTIVE
J&J,J&J,ACTIVE
J&Y,J&Y,ACTIVE
JAD,JACK DANIEL'S,ACTIVE
JNJ,JACK N' JILL,ACTIVE
JAM,JAM'S,ACTIVE
JME,JAMESON,ACTIVE
JBP,JB PRODUCTS,ACTIVE
JBO,JBO,ACTIVE
JBT,JBTEC,ACTIVE
JC0,JC,ACTIVE
JED,JED,ACTIVE
JFD,JFDA,ACTIVE
JDB,JIA DUO BAO,ACTIVE
JIA,JIAGE,ACTIVE
JIE,JIEYI,ACTIVE
JIB,JIM BEAM,ACTIVE
JMC,JIMCU,ACTIVE
JNB,JING BAS,ACTIVE
JNR,JINRO,ACTIVE
JWN,JIWINS,ACTIVE
JJ0,JJ,ACTIVE
JOG,JOE GLO,ACTIVE
JOE,JOE'S BREW,ACTIVE
JOH,JOHN LEE,ACTIVE
JOW,JOHNNIE WALKER,ACTIVE
JHV,JOHNSONVILLE,ACTIVE
JOL,JOLLY,ACTIVE
JON,JONGGA,ACTIVE
JFR,JORDAN FARMS,ACTIVE
JOC,JOSE CUERVO,ACTIVE
JSH,JOSHUA,ACTIVE
JOY,JOY,ACTIVE
JSB,JSB,ACTIVE
JTC,JTC,ACTIVE
JUB,JUAN BREW,ACTIVE
JDG,JUDGE,ACTIVE
JMB,JUMBOLITA,ACTIVE
JVC,JVC,ACTIVE
KST,K-STAR,ACTIVE
KAD,KADOYA,ACTIVE
KAL,KALITA,ACTIVE
KAM,KAMABOKO,ACTIVE
KND,KANDS,ACTIVE
KAN,KANETORA,ACTIVE
KGA,KANGSA,ACTIVE
KAP,KAPP,ACTIVE
KRA,KARA,ACTIVE
KAR,KARI,ACTIVE
KRL,KARLEN'S,ACTIVE
KFP,KARUHATAN FOOD PRODUCT,ACTIVE
KAS,KASUGAI,ACTIVE
KAH,KATHERINE HILLS,ACTIVE
KPC,KATIPUNAN CRAFT,ACTIVE
KAW,KAWASAKI,ACTIVE
KAY,KAYUMANGGI,ACTIVE
KDK,KDK,ACTIVE
KEE,KEE'S,ACTIVE
KHN,KEIHIN,ACTIVE
KEL,KELLOGG'S,ACTIVE
KKA,KEM KANG,ACTIVE
KKU,KEMAL KURKER,ACTIVE
KNK,KENKO,ACTIVE
KEN,KENKUT,ACTIVE
KPI,KETSUP PINOY,ACTIVE
KET,KETTLE KORN,ACTIVE
KEM,KEVIN MURPHY,ACTIVE
KEV,KEVLER,ACTIVE
KWP,KEWPIE,ACTIVE
KIA,KIAN,ACTIVE
KIB,KIBUN,ACTIVE
KIK,KIKKOMAN,ACTIVE
KCO,KINCO,ACTIVE
KIE,KINDLY EGGS,ACTIVE
KNG,KING,ACTIVE
KAF,KING ARTHUR FLOUR,ACTIVE
KGS,KING SUE,ACTIVE
KNT,KINTO,ACTIVE
KIN,KINUGOSHI,ACTIVE
KRN,KIRIN,ACTIVE
KIT,KITAYAMA,ACTIVE
KAI,KITCHEN AID,ACTIVE
KIC,KITCHEN CLUB,ACTIVE
KTC,KITCHEN CRAFT,ACTIVE
KKG,KITCHEN KING,ACTIVE
KIM,KITCHEN MAGIC,ACTIVE
KMC,KITCHEN MALL CORPORATION,ACTIVE
KTM,KITCHEN MATE,ACTIVE
KSC,KITCHEN SUPERCENTER,ACTIVE
KIP,KITCHEN'S PRIDE,ACTIVE
KTP,KITCHENPRO,ACTIVE
KLK,KLEEN KANTEEN,ACTIVE
KLX,KLEENTEX,ACTIVE
KLI,KLIO,ACTIVE
KNR,KNORR,ACTIVE
KNX,KNOX,ACTIVE
KMX,KOMAX,ACTIVE
KNU,KONIU,ACTIVE
KOP,KOPIKO,ACTIVE
KOK,KOPY KAKE,ACTIVE
KOH,KOSHIHIGARU,ACTIVE
KRF,KRAFT,ACTIVE
KGR,KRUGER,ACTIVE
KRU,KRUPS,ACTIVE
KTR,KSTAR,ACTIVE
KT0,KT,ACTIVE
KTK,KTK,ACTIVE
KJK,KUJAKU,ACTIVE
KUN,KUNIHIRO,ACTIVE
K&A,KURVES & ANGLES,ACTIVE
KWC,KWEICHOW,ACTIVE
KWW,KWONG WING,ACTIVE
KYW,KYOWA,ACTIVE
LAC,LA CORVINIA,ACTIVE
LAG,LA GERMANIA,ACTIVE
LMZ,LA MARZOCCO,ACTIVE
LOP,LA OPERA,ACTIVE
LPC,LA PACITA,ACTIVE
LPZ,LA PEDRIZA,ACTIVE
LAP,LA PRINCEPESSA,ACTIVE
